,BU,Machine_Type,Serial_number,Unused_machines_J1,Unused_machines_UNP,Unused_machines_PL,OEE,OEE-J1,OEE-J1-H1-G+G6,Availability,Performance,Planned_Downtime%,Unplanned_Downtime%,Performance_losses,Batch_size,Setuptime/min,Waitingtime/min,Quantity/h,Quantity,Avg_length/mm,ShiftTime/h,Netto_StandardTime/h,Downtime/h,Dw_J1,Planned_Downtime/h,Unplanned_Downtime/h,Urgent_Orders(A16)%,Disciplinary_responsible_vs_Shifthours,Not_disciplinary_responsible_vs_Shifthours,No_Orders,Scrap/m,Scrap%,Avg_No_Machines,Somme de Dw_B,shift,Day,Month,Year,Date
464,BU 2,Machine 3,573N6493,0.0,0.11,0.25,24.9,24.9,25.15,49.56,50.24,39.27,11.16,24.66,371,40.87,5.67,185,1482,2298.52,8.0,1.99,4.04,0.0,3.14,0.89,25.0,9.28,6.1,4,13.9,0.47,5.0,0.0,3,15,7,2017,2017-07-15
465,BU 2,Machine 3,029P3751,0.0,0.09,0.16,37.91,37.91,37.91,53.58,70.77,37.58,8.84,15.66,246,13.47,1.88,338,2707,1212.21,8.0,3.03,3.71,0.0,3.01,0.71,9.09,8.32,7.24,11,2.86,0.07,5.0,0.148055,3,15,7,2017,2017-07-15
466,BU 2,Machine 3,182L4692,0.05,0.17,0.16,54.55,57.35,57.55,70.12,77.8,12.61,17.26,15.57,427,7.94,0.88,374,2988,2100.49,8.0,4.36,2.39,0.39,1.01,1.38,28.57,12.06,1.03,7,12.255,0.20,5.0,0.351944,3,15,7,2017,2017-07-15
467,BU 2,Machine 3,483D5938,0.09,0.12,0.37,45.32,50.06,50.32,82.2,55.12,5.42,12.38,36.89,663,4.96,1.39,331,2651,2279.15,8.0,3.63,1.42,0.76,0.43,0.99,25.0,2.3,1.42,4,152.795,2.49,5.0,0.091667,3,15,7,2017,2017-07-15
468,BU 2,Machine 2,5392175,0.0,0.14,0.24,31.41,31.41,31.41,55.74,56.35,30.03,14.22,24.33,849,10.59,1.3,1168,9343,1570.09,8.0,2.51,3.54,0.0,2.4,1.14,0.0,14.22,5.76,11,19.56,0.06,11.0,0.381665,3,15,7,2017,2017-07-15
469,BU 2,Machine 2,6798354,0.0,0.23,0.16,28.09,28.09,29.92,43.88,64.0,33.27,22.85,15.8,639,10.03,5.62,878,7027,1895.69,8.0,2.25,4.49,0.0,2.66,1.83,0.0,20.01,7.5,11,151.73,0.58,11.0,0.014722,3,15,7,2017,2017-07-15
470,BU 2,Machine 2,7481923,0.0,0.23,0.26,24.05,24.05,24.08,50.21,47.9,26.46,23.33,26.16,720,9.5,2.21,990,7917,998.58,8.0,1.92,3.98,0.0,2.12,1.87,0.0,22.99,4.9,11,118.785,1.19,11.0,0.790555,3,15,7,2017,2017-07-15
471,BU 2,Machine 2,1047583,0.01,0.13,0.2,31.75,32.13,34.64,51.94,61.12,35.11,12.94,20.2,730,10.32,0.08,1004,8028,2578.24,8.0,2.54,3.84,0.1,2.81,1.04,9.09,7.79,8.75,11,30.05,0.20,11.0,0.331389,3,15,7,2017,2017-07-15
472,BU 2,Machine 2,2938745,0.0,0.13,0.11,48.59,48.59,48.73,60.08,80.88,26.91,13.01,11.48,802,8.36,1.4,1303,10423,2503.65,8.0,3.89,3.19,0.0,2.15,1.04,0.0,10.38,6.82,13,21.35,0.07,11.0,0.005833,3,15,7,2017,2017-07-15
473,BU 2,Machine 2,8362719,0.0,0.1,0.19,30.79,30.79,32.56,50.17,61.37,39.69,10.15,19.38,783,10.62,3.72,1174,9390,1393.58,8.0,2.46,3.99,0.0,3.18,0.81,8.33,9.78,8.06,12,12.34,0.15,11.0,0.0,3,15,7,2017,2017-07-15
474,BU 2,Machine 2,5849321,0.02,0.19,0.23,26.94,27.39,30.14,50.05,53.83,30.93,19.02,23.1,839,11.83,2.77,839,6712,1382.00,8.0,2.16,4.0,0.13,2.47,1.52,0.0,15.68,5.04,8,0.0,0.00,11.0,0.344722,3,15,7,2017,2017-07-15
475,BU 2,Machine 2,2948567,0.01,0.25,0.15,37.38,37.92,42.34,52.31,71.47,22.29,25.4,14.92,1233,8.21,0.0,1079,8633,2437.41,8.0,2.99,3.82,0.11,1.78,2.03,14.29,9.46,19.91,7,190.86,0.57,11.0,0.559445,3,15,7,2017,2017-07-15
476,BU 2,Machine 2,3928471,0.0,0.16,0.22,28.36,28.36,30.13,50.52,56.14,33.35,16.13,22.15,697,10.7,1.31,1045,8359,1587.79,8.0,2.27,3.96,0.0,2.67,1.29,0.0,14.81,2.05,12,3.05,0.04,11.0,0.500834,3,15,7,2017,2017-07-15
477,BU 2,Machine 2,1749536,0.0,0.04,0.25,37.08,37.08,39.31,62.44,59.39,33.09,4.48,25.35,941,8.44,1.11,1529,12230,974.71,8.0,2.97,3.01,0.0,2.65,0.36,15.38,3.82,5.22,13,7.54,0.06,11.0,0.0,3,15,7,2017,2017-07-15
478,BU 2,Machine 2,3826197,0.02,0.17,0.32,27.79,28.38,28.43,59.62,46.6,23.45,16.92,31.83,848,12.44,5.64,955,7636,1976.95,8.0,2.22,3.23,0.17,1.88,1.35,0.0,14.78,0.0,9,15.875,0.16,11.0,0.076667,3,15,7,2017,2017-07-15
479,BU 1,Machine 1,8492371,0.32,0.35,0.17,12.19,17.95,18.52,28.72,42.45,36.75,34.53,16.53,49,3.6,0.0,303,2420,1481.13,8.0,0.98,5.7,2.57,2.94,2.76,0.0,0.34,0.0,49,0.0,0.00,4.0,0.0275,1,16,7,2017,2017-07-16
480,BU 1,Machine 1,5816492,0.03,0.14,0.31,25.84,26.51,26.51,56.88,45.44,28.65,14.48,31.04,418,7.6,0.78,627,5014,1082.09,8.0,2.07,3.45,0.2,2.29,1.16,8.33,1.95,19.67,12,12.795,0.30,4.0,0.0,1,16,7,2017,2017-07-16
481,BU 1,Machine 1,0923745,0.0,0.19,0.18,36.31,36.31,36.45,53.9,67.37,26.82,19.28,17.59,615,13.02,2.36,692,5533,1218.33,8.0,2.9,3.69,0.0,2.15,1.54,0.0,10.17,11.18,9,0.0,0.00,4.0,0.152222,1,16,7,2017,2017-07-16
482,BU 1,Machine 1,7618349,0.0,0.07,0.07,55.93,55.93,56.25,63.14,88.58,29.44,7.42,7.21,453,4.59,0.61,1075,8603,1569.40,8.0,4.47,2.95,0.0,2.36,0.59,0.0,3.11,15.0,19,6.36,0.05,4.0,0.056389,1,16,7,2017,2017-07-16
483,BU 1,Machine 2,2359173,0.07,0.18,0.15,26.5,28.38,29.11,41.56,63.75,40.89,17.55,15.07,169,4.75,1.21,697,5578,1515.70,8.0,2.12,4.67,0.53,3.27,1.4,0.0,10.37,8.7,33,2.275,0.02,1.0,0.164722,1,16,7,2017,2017-07-16
484,BU 2,Machine 1,1903845,0.02,0.12,0.33,23.47,23.9,26.65,56.68,41.4,31.75,11.57,33.22,581,7.77,2.46,799,6391,1518.97,8.0,1.88,3.47,0.15,2.54,0.93,9.09,5.65,7.91,11,3.3,0.03,1.0,0.0,1,16,7,2017,2017-07-16
485,BU 2,Machine 3,093K8347,0.0,0.06,0.17,58.45,58.45,59.2,75.06,77.87,19.24,5.7,16.61,541,9.95,2.75,406,3245,1592.36,8.0,4.68,2.0,0.0,1.54,0.46,16.67,4.01,7.23,6,21.855,1.48,5.0,0.045556,1,16,7,2017,2017-07-16
486,BU 2,Machine 3,573N6493,0.0,0.08,0.2,31.7,31.7,32.09,51.86,61.12,40.1,8.03,20.17,259,18.26,0.0,162,1297,4106.97,8.0,2.54,3.85,0.0,3.21,0.64,40.0,2.41,25.48,5,57.54,2.16,5.0,0.0,1,16,7,2017,2017-07-16
487,BU 2,Machine 3,029P3751,0.01,0.07,0.15,57.22,57.76,58.07,72.65,78.77,20.09,7.26,15.42,281,10.71,0.13,317,2532,2355.01,8.0,4.58,2.19,0.07,1.61,0.58,11.11,5.8,0.0,9,36.62,0.39,5.0,0.444167,1,16,7,2017,2017-07-16
488,BU 2,Machine 3,182L4692,0.03,0.09,0.22,48.7,50.41,50.71,71.09,68.5,20.01,8.9,22.39,417,15.12,3.73,312,2499,2497.88,8.0,3.9,2.31,0.27,1.6,0.71,33.33,4.67,1.38,6,200.87,4.36,5.0,0.0,1,16,7,2017,2017-07-16
489,BU 2,Machine 3,483D5938,0.0,0.07,0.24,54.61,54.7,55.19,78.23,69.81,15.0,6.78,23.61,489,7.94,2.07,428,3425,2041.04,8.0,4.37,1.74,0.01,1.2,0.54,71.43,5.28,3.88,7,58.065,0.73,5.0,0.0,1,16,7,2017,2017-07-16
490,BU 2,Machine 2,5392175,0.0,0.13,0.13,45.44,45.44,46.53,58.4,77.81,29.09,12.51,12.96,1219,8.02,3.13,1676,13404,1572.47,8.0,3.64,3.33,0.0,2.33,1.0,0.0,11.27,11.41,11,17.08,0.07,11.0,0.0,1,16,7,2017,2017-07-16
491,BU 2,Machine 2,6798354,0.0,0.16,0.18,39.57,39.57,42.14,57.74,68.54,26.73,15.54,18.16,963,7.78,1.71,1324,10588,1184.37,8.0,3.17,3.38,0.0,2.14,1.24,18.18,10.88,7.47,11,24.59,0.17,11.0,0.219999,1,16,7,2017,2017-07-16
492,BU 2,Machine 2,7481923,0.0,0.24,0.2,36.66,36.66,37.61,57.06,64.26,19.22,23.72,20.39,924,5.77,3.61,1271,10167,1797.92,8.0,2.93,3.44,0.0,1.54,1.9,9.09,10.01,19.66,11,71.425,0.38,11.0,0.109167,1,16,7,2017,2017-07-16
493,BU 2,Machine 2,1047583,0.0,0.2,0.23,38.2,38.2,38.55,61.06,62.56,19.37,19.57,22.86,946,4.28,3.76,1419,11350,1582.44,8.0,3.06,3.12,0.0,1.55,1.57,8.33,17.08,10.24,12,46.695,0.28,11.0,0.461389,1,16,7,2017,2017-07-16
494,BU 2,Machine 2,2938745,0.01,0.13,0.06,52.58,52.86,52.89,58.56,89.8,28.25,13.19,5.97,865,8.68,1.26,1406,11248,2480.08,8.0,4.21,3.32,0.04,2.26,1.06,23.08,10.21,7.15,13,42.905,0.25,11.0,0.104999,1,16,7,2017,2017-07-16
495,BU 2,Machine 2,8362719,0.0,0.35,0.19,22.12,22.12,23.14,40.62,54.45,24.21,35.16,18.5,1111,3.49,13.36,833,6666,1417.34,8.0,1.77,4.75,0.0,1.94,2.81,16.67,18.84,33.5,6,452.64,5.22,11.0,0.012222,1,16,7,2017,2017-07-16
496,BU 2,Machine 2,5849321,0.0,0.16,0.27,32.8,32.8,33.81,59.68,54.95,24.28,16.05,26.88,785,6.36,3.39,1276,10208,1236.37,8.0,2.62,3.23,0.0,1.94,1.28,7.69,12.83,7.31,13,0.0,0.00,11.0,0.10389,1,16,7,2017,2017-07-16
497,BU 2,Machine 2,2948567,0.0,0.12,0.22,49.11,49.11,49.38,70.83,69.34,16.92,12.25,21.72,1401,7.05,2.97,1751,14008,1316.96,8.0,3.93,2.33,0.0,1.35,0.98,10.0,11.5,2.43,10,25.91,0.09,11.0,0.010556,1,16,7,2017,2017-07-16
498,BU 2,Machine 2,3928471,0.0,0.09,0.13,56.35,56.35,58.15,69.1,81.55,21.69,9.21,12.75,913,4.45,2.56,1826,14605,2279.16,8.0,4.51,2.47,0.0,1.74,0.74,0.0,8.91,7.01,16,160.61,0.51,11.0,0.001111,1,16,7,2017,2017-07-16
499,BU 2,Machine 2,1749536,0.0,0.09,0.28,39.89,39.89,40.61,67.76,58.87,23.25,8.99,27.87,754,4.53,1.51,1602,12815,1044.72,8.0,3.19,2.58,0.0,1.86,0.72,11.76,6.53,9.31,17,6.705,0.04,11.0,0.0,1,16,7,2017,2017-07-16
500,BU 2,Machine 2,3826197,0.0,0.18,0.24,35.15,35.2,36.28,59.6,58.97,22.89,17.52,24.45,1160,7.25,3.97,1305,10437,1545.41,8.0,2.81,3.23,0.01,1.83,1.4,11.11,13.46,11.58,9,141.855,0.81,11.0,0.143889,1,16,7,2017,2017-07-16
501,BU 3,Machine 4,4027589,0.0,0.23,0.18,47.5,47.5,48.34,65.88,72.1,11.25,22.86,18.38,1595,8.6,4.16,1196,9569,739.60,8.0,3.8,2.73,0.0,0.9,1.83,0.0,9.41,12.22,6,98.03,1.57,1.0,0.215,1,16,7,2017,2017-07-16
502,BU 3,Machine 5,2938745,0.0,0.22,0.23,41.08,41.08,47.28,64.4,63.79,13.53,22.08,23.32,3400,11.82,27.87,850,6799,791.17,8.0,3.29,2.85,0.0,1.08,1.77,0.0,14.53,4.84,2,260.73,4.44,2.0,0.115,1,16,7,2017,2017-07-16
503,BU 3,Machine 5,8374621,0.0,0.13,0.32,34.16,34.16,36.82,65.95,51.8,20.59,13.45,31.79,1057,7.68,2.26,793,6343,696.76,8.0,2.73,2.72,0.0,1.65,1.08,0.0,4.11,8.78,6,34.2,0.80,2.0,0.0,1,16,7,2017,2017-07-16
504,BU 1,Machine 1,8492371,0.0,0.26,0.15,32.86,32.98,33.23,48.02,68.43,25.77,26.21,15.16,171,3.34,2.09,769,6153,1363.89,8.0,2.63,4.16,0.03,2.06,2.1,0.0,21.87,3.93,36,0.0,0.00,4.0,0.494165,2,16,7,2017,2017-07-16
505,BU 1,Machine 1,5816492,0.0,0.08,0.21,32.34,32.39,32.91,53.38,60.58,39.01,7.6,21.04,191,5.1,0.08,741,5928,1345.68,8.0,2.59,3.73,0.01,3.12,0.61,0.0,3.83,8.13,31,4.67,0.10,4.0,0.086111,2,16,7,2017,2017-07-16
506,BU 1,Machine 1,0923745,0.0,0.11,0.18,35.91,35.91,37.71,54.29,66.13,34.89,10.82,18.39,160,4.15,0.4,681,5446,1376.21,8.0,2.87,3.66,0.0,2.79,0.87,0.0,7.19,4.34,34,0.0,0.00,4.0,0.229167,2,16,7,2017,2017-07-16
507,BU 1,Machine 1,7618349,0.0,0.01,0.08,36.29,36.29,36.46,43.93,82.59,55.34,0.73,7.65,152,4.78,0.03,705,5639,1136.29,8.0,2.9,4.49,0.0,4.43,0.06,0.0,0.24,18.98,37,5.39,0.07,4.0,0.0,2,16,7,2017,2017-07-16
508,BU 1,Machine 2,2359173,0.01,0.07,0.17,35.06,35.25,37.38,52.13,67.25,41.07,6.8,17.07,253,5.06,0.07,1013,8107,1075.06,8.0,2.8,3.83,0.04,3.29,0.54,0.0,6.09,1.79,32,20.575,0.27,1.0,0.450276,2,16,7,2017,2017-07-16
509,BU 2,Machine 1,1903845,0.0,0.29,0.21,17.77,17.79,19.25,38.62,46.01,32.05,29.34,20.85,386,10.29,5.81,578,4626,2079.33,8.0,1.42,4.91,0.01,2.56,2.35,8.33,27.96,0.77,12,49.345,0.37,1.0,1.04861,2,16,7,2017,2017-07-16
510,BU 2,Machine 3,093K8347,0.0,0.14,0.27,45.47,45.47,47.67,72.28,62.9,13.32,14.4,26.82,590,6.12,2.99,443,3542,752.26,8.0,3.64,2.22,0.0,1.07,1.15,16.67,4.95,10.49,6,90.62,5.82,5.0,0.065834,2,16,7,2017,2017-07-16
511,BU 2,Machine 3,573N6493,0.0,0.14,0.16,47.63,47.63,47.85,63.17,75.4,22.92,13.92,15.54,443,17.11,6.92,277,2213,2975.23,8.0,3.81,2.95,0.0,1.83,1.11,20.0,7.73,10.82,5,92.14,1.81,5.0,0.041667,2,16,7,2017,2017-07-16
512,BU 2,Machine 3,029P3751,0.0,0.06,0.29,54.12,54.12,54.12,82.98,65.22,10.58,6.44,28.86,1404,14.44,6.31,527,4213,819.91,8.0,4.33,1.36,0.0,0.85,0.52,33.33,3.94,4.05,3,42.92,0.88,5.0,0.0,2,16,7,2017,2017-07-16
513,BU 2,Machine 3,182L4692,0.02,0.04,0.3,46.28,47.12,47.33,76.45,60.53,19.64,3.91,30.17,628,12.03,0.51,393,3142,1711.03,8.0,3.7,1.88,0.14,1.57,0.31,20.0,1.55,7.26,5,177.96,3.56,5.0,0.0,2,16,7,2017,2017-07-16
514,BU 2,Machine 3,483D5938,0.0,0.12,0.23,52.67,52.67,54.78,75.37,69.88,12.55,12.08,22.71,940,13.75,2.32,353,2820,2211.33,8.0,4.21,1.97,0.0,1.0,0.97,33.33,4.0,8.19,3,41.46,0.71,5.0,0.20389,2,16,7,2017,2017-07-16
515,BU 2,Machine 2,5392175,0.0,0.14,0.18,53.63,53.7,54.03,71.72,74.78,14.4,13.88,18.09,1142,3.26,0.36,2141,17128,1055.46,8.0,4.29,2.26,0.01,1.15,1.11,6.67,4.31,13.03,15,103.105,0.16,11.0,0.083334,2,16,7,2017,2017-07-16
516,BU 2,Machine 2,6798354,0.0,0.17,0.21,34.74,34.74,38.43,56.13,61.89,27.25,16.61,21.39,975,8.5,3.91,1219,9751,1130.67,8.0,2.78,3.51,0.0,2.18,1.33,0.0,12.73,3.93,10,70.32,0.77,11.0,0.175276,2,16,7,2017,2017-07-16
517,BU 2,Machine 2,7481923,0.0,0.2,0.25,30.34,30.34,30.49,55.63,54.54,24.54,19.83,25.29,831,11.26,5.19,1039,8308,1859.46,8.0,2.43,3.55,0.0,1.96,1.59,10.0,17.25,3.16,10,71.34,0.47,11.0,0.372776,2,16,7,2017,2017-07-16
518,BU 2,Machine 2,1047583,0.0,0.31,0.23,31.12,31.12,32.63,53.66,57.99,15.33,31.01,22.54,1120,5.74,1.35,1120,8961,1764.08,8.0,2.49,3.71,0.0,1.23,2.48,0.0,11.37,21.37,8,197.875,0.95,11.0,0.205277,2,16,7,2017,2017-07-16
519,BU 2,Machine 2,2938745,0.01,0.26,0.1,40.64,40.91,44.18,50.19,80.97,23.83,25.98,9.55,1008,8.42,10.62,1134,9069,2010.95,8.0,3.25,3.98,0.05,1.91,2.08,11.11,21.66,8.01,9,39.33,0.21,11.0,0.077778,2,16,7,2017,2017-07-16
520,BU 2,Machine 2,8362719,0.0,0.13,0.16,39.55,39.66,43.78,55.19,71.66,31.52,13.3,15.64,1072,8.59,1.61,1339,10715,2096.30,8.0,3.16,3.58,0.02,2.52,1.06,10.0,10.14,9.84,10,80.7,0.77,11.0,0.507777,2,16,7,2017,2017-07-16
521,BU 2,Machine 2,5849321,0.0,0.27,0.25,21.03,21.03,21.81,45.88,45.83,27.05,27.08,24.85,630,10.82,11.6,630,5038,1424.92,8.0,1.68,4.33,0.0,2.16,2.17,12.5,24.6,8.03,8,0.0,0.00,11.0,0.600277,2,16,7,2017,2017-07-16
522,BU 2,Machine 2,2948567,0.0,0.27,0.26,33.38,33.38,33.88,59.44,56.15,13.43,27.13,26.06,1044,6.18,5.84,1044,8355,2257.99,8.0,2.67,3.24,0.0,1.07,2.17,12.5,17.72,11.05,8,5.38,0.04,11.0,0.504165,2,16,7,2017,2017-07-16
523,BU 2,Machine 2,3928471,0.01,0.24,0.17,43.68,44.09,44.89,61.02,71.59,15.03,23.95,17.34,909,1.43,3.16,1590,12723,1619.21,8.0,3.49,3.12,0.07,1.2,1.92,7.14,12.99,20.8,14,5.115,0.02,11.0,0.253888,2,16,7,2017,2017-07-16
524,BU 2,Machine 2,1749536,0.0,0.14,0.2,47.24,47.24,47.8,67.11,70.4,19.25,13.64,19.86,1130,6.32,0.62,1554,12431,2275.23,8.0,3.78,2.63,0.0,1.54,1.09,9.09,4.43,12.81,11,8.545,0.02,11.0,0.029445,2,16,7,2017,2017-07-16
525,BU 2,Machine 2,3826197,0.01,0.1,0.18,52.86,53.26,53.63,70.62,74.85,19.79,9.59,17.76,1179,5.19,0.75,1917,15333,1445.62,8.0,4.23,2.35,0.06,1.58,0.77,7.69,5.89,7.97,13,30.93,0.14,11.0,0.130555,2,16,7,2017,2017-07-16
526,BU 3,Machine 4,4027589,0.0,0.33,0.16,30.61,30.61,33.13,46.68,65.57,20.63,32.69,16.07,920,12.01,7.72,805,6438,514.03,8.0,2.45,4.27,0.0,1.65,2.62,42.86,15.77,12.43,7,38.5,0.57,1.0,0.361112,2,16,7,2017,2017-07-16
527,BU 3,Machine 5,2938745,0.0,0.17,0.18,48.61,48.61,49.19,66.25,73.37,16.36,17.39,17.64,953,5.64,0.0,1072,8576,1341.68,8.0,3.89,2.7,0.0,1.31,1.39,11.11,11.99,10.01,9,200.411,0.87,2.0,0.351111,2,16,7,2017,2017-07-16
528,BU 3,Machine 5,8374621,0.0,0.16,0.37,31.5,31.5,32.14,68.17,46.2,15.38,16.45,36.67,1219,10.73,10.1,609,4875,779.77,8.0,2.52,2.55,0.0,1.23,1.32,50.0,11.25,8.35,4,5.37,0.14,2.0,0.226667,2,16,7,2017,2017-07-16
529,BU 1,Machine 1,8492371,0.03,0.14,0.13,41.07,42.42,42.94,53.77,76.39,31.81,14.42,12.69,551,8.33,1.45,826,6606,1233.16,8.0,3.29,3.7,0.25,2.55,1.15,0.0,4.83,16.23,12,0.0,0.00,4.0,0.016111,3,16,7,2017,2017-07-16
530,BU 1,Machine 1,5816492,0.11,0.33,0.14,44.63,49.91,50.14,58.61,76.16,8.47,32.93,13.97,364,1.68,3.26,1093,8741,1535.46,8.0,3.57,3.31,0.85,0.68,2.63,4.17,20.59,1.43,24,11.37,0.11,4.0,0.228614,3,16,7,2017,2017-07-16
531,BU 1,Machine 1,0923745,0.0,0.12,0.13,35.67,35.67,35.69,48.82,73.07,39.22,11.96,13.15,217,5.71,0.0,706,5647,1140.78,8.0,2.85,4.09,0.0,3.14,0.96,0.0,6.74,13.44,26,0.0,0.00,4.0,0.257778,3,16,7,2017,2017-07-16
532,BU 1,Machine 1,7618349,0.03,0.09,0.1,45.93,47.52,47.58,55.74,82.4,35.09,9.17,9.81,235,4.93,0.27,910,7276,1426.05,8.0,3.67,3.54,0.27,2.81,0.73,0.0,2.07,6.86,31,2.96,0.05,4.0,0.0275,3,16,7,2017,2017-07-16
533,BU 1,Machine 2,2359173,0.0,0.2,0.17,29.31,29.31,29.38,46.53,62.98,33.14,20.32,17.23,312,6.82,3.21,779,6230,1391.94,8.0,2.34,4.28,0.0,2.65,1.63,0.0,18.18,6.65,20,13.51,0.19,1.0,0.383334,3,16,7,2017,2017-07-16
534,BU 2,Machine 1,1903845,0.02,0.17,0.3,30.13,30.61,31.87,59.78,50.41,22.95,17.27,29.65,886,9.63,4.11,997,7977,1787.47,8.0,2.41,3.22,0.12,1.84,1.38,11.11,8.06,8.66,9,87.295,0.49,1.0,0.012222,3,16,7,2017,2017-07-16
535,BU 2,Machine 3,093K8347,0.0,0.08,0.23,46.9,46.96,48.41,69.48,67.5,22.15,8.36,22.58,382,10.49,0.65,382,3053,1676.34,8.0,3.75,2.44,0.01,1.77,0.67,37.5,7.2,5.36,8,36.52,0.49,5.0,0.489167,3,16,7,2017,2017-07-16
536,BU 2,Machine 3,573N6493,0.0,0.08,0.19,46.67,46.67,47.87,65.44,71.32,27.0,7.56,18.77,368,15.32,0.0,322,2577,1773.94,8.0,3.73,2.76,0.0,2.16,0.61,42.86,2.57,7.15,7,0.0,0.00,5.0,0.081944,3,16,7,2017,2017-07-16
537,BU 2,Machine 3,029P3751,0.0,0.07,0.22,47.12,47.12,47.12,69.41,67.89,24.0,6.59,22.29,344,11.12,1.28,387,3096,1545.74,8.0,3.77,2.45,0.0,1.92,0.53,11.11,6.06,3.67,9,4.77,0.03,5.0,0.293333,3,16,7,2017,2017-07-16
538,BU 2,Machine 3,182L4692,0.0,0.09,0.18,53.2,53.2,53.63,70.81,75.14,19.83,9.36,17.61,400,14.51,0.87,300,2402,2385.77,8.0,4.26,2.34,0.0,1.59,0.75,0.0,8.57,1.69,6,4.255,0.08,5.0,0.410833,3,16,7,2017,2017-07-16
539,BU 2,Machine 3,483D5938,0.02,0.04,0.18,71.57,73.34,75.42,89.98,79.54,5.78,4.24,18.41,1074,3.88,1.79,403,3223,2942.57,8.0,5.73,0.8,0.19,0.46,0.34,33.33,1.4,3.36,3,64.41,0.71,5.0,0.021944,3,16,7,2017,2017-07-16
540,BU 2,Machine 2,5392175,0.0,0.17,0.25,23.81,23.81,23.84,48.74,48.84,34.38,16.88,24.94,729,13.31,2.78,911,7287,1405.93,8.0,1.9,4.1,0.0,2.75,1.35,0.0,16.57,6.83,10,45.35,0.47,11.0,0.301667,3,16,7,2017,2017-07-16
541,BU 2,Machine 2,6798354,0.0,0.19,0.17,41.04,41.04,41.28,57.95,70.82,22.61,19.44,16.91,845,7.22,5.85,1267,10135,1334.61,8.0,3.28,3.36,0.0,1.81,1.56,8.33,18.96,4.7,12,82.395,0.45,11.0,0.210555,3,16,7,2017,2017-07-16
542,BU 2,Machine 2,7481923,0.02,0.11,0.24,38.25,39.14,39.2,61.94,61.75,26.65,11.4,23.69,839,8.25,0.13,1573,12585,917.77,8.0,3.06,3.04,0.18,2.13,0.91,6.67,9.14,0.72,15,46.155,0.48,11.0,0.7,3,16,7,2017,2017-07-16
543,BU 2,Machine 2,1047583,0.0,0.18,0.26,34.53,34.53,35.82,60.23,57.34,22.2,17.57,25.69,1276,9.09,3.13,1276,10206,1639.85,8.0,2.76,3.18,0.0,1.78,1.41,0.0,12.74,10.2,8,132.765,0.55,11.0,0.286667,3,16,7,2017,2017-07-16
544,BU 2,Machine 2,2938745,0.0,0.16,0.08,61.78,61.78,62.0,70.27,87.92,13.99,15.74,8.49,966,4.52,4.28,1570,12560,3143.10,8.0,4.94,2.38,0.0,1.12,1.26,0.0,12.86,4.56,13,142.03,0.28,11.0,0.042778,3,16,7,2017,2017-07-16
545,BU 2,Machine 2,8362719,0.0,0.08,0.1,41.12,41.12,43.86,50.97,80.66,40.7,8.32,9.86,1194,13.93,4.03,1344,10750,1847.49,8.0,3.29,3.92,0.0,3.26,0.67,0.0,7.9,8.77,9,10.34,0.06,11.0,0.026667,3,16,7,2017,2017-07-16
546,BU 2,Machine 2,5849321,0.1,0.29,0.25,17.01,18.92,19.01,41.99,40.5,28.55,29.46,24.99,443,13.74,5.65,443,3545,3543.45,8.0,1.36,4.64,0.81,2.28,2.36,12.5,14.39,10.61,8,0.0,0.00,11.0,0.335556,3,16,7,2017,2017-07-16
547,BU 2,Machine 2,2948567,0.0,0.13,0.2,40.0,40.0,46.21,60.4,66.23,26.53,13.07,20.4,929,3.99,0.35,1278,10221,2385.38,8.0,3.2,3.17,0.0,2.12,1.05,9.09,3.98,19.92,11,35.045,0.09,11.0,0.0,3,16,7,2017,2017-07-16
548,BU 2,Machine 2,3928471,0.0,0.11,0.2,38.07,38.15,40.8,57.8,65.86,31.33,10.87,19.73,714,6.62,0.48,1249,9990,2309.11,8.0,3.05,3.38,0.02,2.51,0.87,7.14,6.59,10.89,14,49.5,0.18,11.0,0.258612,3,16,7,2017,2017-07-16
549,BU 2,Machine 2,1749536,0.0,0.17,0.14,30.03,30.03,30.35,44.29,67.81,38.28,17.43,14.25,440,7.61,2.36,1044,8351,1959.91,8.0,2.4,4.46,0.0,3.06,1.39,5.26,14.15,11.39,19,40.27,0.14,11.0,0.03,3,16,7,2017,2017-07-16
550,BU 2,Machine 2,3826197,0.01,0.15,0.27,30.88,31.12,33.1,57.67,53.54,27.0,15.33,26.79,889,10.1,5.37,1111,8887,1613.76,8.0,2.47,3.39,0.06,2.16,1.23,10.0,12.16,2.41,10,26.375,0.17,11.0,0.040556,3,16,7,2017,2017-07-16
551,BU 1,Machine 1,8492371,0.24,0.26,0.15,27.85,36.5,37.4,42.44,65.61,32.04,25.52,14.59,432,10.53,0.07,756,6044,887.97,8.0,2.23,4.6,1.9,2.56,2.04,0.0,0.22,1.08,14,0.0,0.00,4.0,0.0,1,17,7,2017,2017-07-17
552,BU 1,Machine 1,5816492,0.01,0.1,0.32,38.88,39.37,39.42,70.89,54.85,19.32,9.78,32.01,397,3.4,0.14,844,6753,1393.55,8.0,3.11,2.33,0.1,1.55,0.78,0.0,2.2,13.53,17,52.38,0.49,4.0,0.103055,1,17,7,2017,2017-07-17
